ID;Surname;FirstName;Birthdate
20000000-0000-0000-0000-000000000001;Meier;Pia;1987-10-04
20000000-0000-0000-0000-000000000002;Locher;Bernhard;1998-01-01
20000000-0000-0000-0000-000000000003;Meier;Sami;2009-04-16
20000000-0000-0000-0000-000000000004;Müller;Rita;1965-01-24
20000000-0000-0000-0000-000000000005;Meyer;Daniela;2008-11-20
20000000-0000-0000-0000-000000000006;Frei;Karin;1997-06-05
20000000-0000-0000-0000-000000000007;Otto;Peter;1974-03-25
20000000-0000-0000-0000-000000000008;Senderos;Albin;1948-05-03
20000000-0000-0000-0000-000000000009;Rieder;Trury;1984-12-31
20000000-0000-0000-0000-00000000000A;Sorg;Manuela;1996-10-10
20000000-0000-0000-0000-00000000000B;Schwaiger;Wolfgang;2012-07-02
20000000-0000-0000-0000-00000000000C;Müller;Theo;1974-05-23
20000000-0000-0000-0000-00000000000D;Meier;Timothy;1988-08-18
20000000-0000-0000-0000-00000000000E;Huber;Roland;2017-08-01
